Strand	Read	Position	nMethylated	nUnmethylated
OT	2	107	2814	671233
OT	1	108	2911	673926
OT	2	108	2841	670812
OT	1	109	2903	674288
OT	2	109	2757	669400
OT	1	110	3022	670292
OT	2	110	2802	670783
OT	1	111	2923	673719
OT	2	111	2739	669763
OT	1	112	3024	673529
OT	2	112	2795	667646
OT	1	113	2926	668773
OT	2	113	2970	671100
OT	1	114	2875	671485
OT	2	114	2943	670904
OT	1	115	3115	671983
OT	2	115	2870	668694
OT	1	116	3053	667660
OT	2	116	2897	670506
OT	1	117	2967	668561
OT	2	117	2828	671468
OT	1	118	3165	671220
OT	2	118	2852	670259
OT	1	119	2974	668072
OT	2	119	2713	669124
OT	1	120	3048	669110
OT	2	120	2775	668724
OT	1	121	2955	671739
OT	2	121	2772	668207
OT	1	122	2985	665538
OT	2	122	2806	667546
OT	1	123	3095	669858
OT	2	123	2913	667657
OT	1	124	3000	670156
OT	2	124	2755	665068
OT	1	125	2930	668149
OT	2	125	2767	669083
OT	1	126	2990	668407
OT	2	126	2706	669219
OT	1	127	2994	669828
OT	2	127	2764	667878
OT	1	128	3022	665313
OT	2	128	2838	671024
OT	1	129	3000	665622
OT	2	129	2808	669394
OT	1	130	3030	668227
OT	2	130	2589	666617
OT	1	131	3115	663054
OT	2	131	2680	665580
OT	1	132	3001	666015
OT	2	132	2737	663946
OT	1	133	3129	665769
OT	2	133	2803	658166
OT	1	134	3025	662186
OT	2	134	2585	661781
OT	1	135	3060	662897
OT	2	135	2781	663564
OT	1	136	3066	665568
OT	2	136	2665	660390
OT	1	137	3041	659241
OT	2	137	2756	662747
OT	1	138	3219	663368
OT	2	138	2761	661870
OT	1	139	3176	663663
OT	2	139	2657	664015
OT	1	140	3129	659112
OT	2	140	2706	659639
OT	1	141	3142	660419
OT	2	141	2738	651190
OT	1	142	3104	661261
OT	2	142	2617	634339
OT	1	143	3155	656196
OT	2	143	2376	590883
OT	1	144	3169	658681
OT	2	144	3031	696666
OT	1	145	3099	660869
OT	2	145	2707	630464
OT	1	146	3240	657048
OT	2	146	2671	637445
OT	1	147	3234	659846
OT	2	147	3093	730019
OT	1	148	3276	660533
OT	2	148	3312	697183
OT	1	149	3173	655754
OT	2	149	4578	710081
OT	1	150	2654	650098
OT	2	150	2799	258476
OB	1	1	3082	683313
OB	2	1	3283	293286
OB	1	2	3731	674979
OB	2	2	5088	780713
OB	1	3	3470	679249
OB	2	3	3387	733765
OB	1	4	3444	678295
OB	2	4	3332	768504
OB	1	5	3422	673368
OB	2	5	2708	662181
OB	1	6	3424	678606
OB	2	6	2833	660336
OB	1	7	3391	679905
OB	2	7	3083	733621
OB	1	8	3247	673140
OB	2	8	2498	611104
OB	1	9	3229	677072
OB	2	9	2736	667131
OB	1	10	3383	678000
OB	2	10	2854	681248
OB	1	11	3231	676222
OB	2	11	2854	688299
OB	1	12	3166	678374
OB	2	12	2868	691208
OB	1	13	3278	678888
OB	2	13	2763	688645
OB	1	14	3272	676026
OB	2	14	2875	687351
OB	1	15	3162	678767
OB	2	15	2856	686010
OB	1	16	3233	679641
OB	2	16	2889	687933
OB	1	17	3151	674514
OB	2	17	2802	683939
OB	1	18	3230	679109
OB	2	18	2892	681146
OB	1	19	3170	677600
OB	2	19	2745	683708
OB	1	20	3126	675191
OB	2	20	2799	686928
OB	1	21	3102	679818
OB	2	21	2730	683839
OB	1	22	3174	677967
OB	2	22	2895	688157
OB	1	23	3072	675186
OB	2	23	2828	689244
OB	1	24	3089	679919
OB	2	24	2830	686430
OB	1	25	3133	680332
OB	2	25	2759	687218
OB	1	26	3058	675731
OB	2	26	2808	683885
OB	1	27	3083	678310
OB	2	27	2838	681309
OB	1	28	3083	679150
OB	2	28	3110	683585
OB	1	29	2986	676162
OB	2	29	2888	684572
OB	1	30	2965	678698
OB	2	30	2853	680303
OB	1	31	3060	678877
OB	2	31	2943	684239
OB	1	32	3162	674747
OB	2	32	2863	684767
OB	1	33	3034	680203
OB	2	33	2893	683704
OB	1	34	3029	680732
OB	2	34	2808	685424
OB	1	35	2994	675041
OB	2	35	2943	683062
OB	1	36	2993	678527
OB	2	36	2930	683258
OB	1	37	2999	680284
OB	2	37	2926	683832
OB	1	38	2990	677196
OB	2	38	2991	681588
OB	1	39	3053	679512
OB	2	39	2876	679267
OB	1	40	3012	680788
OB	2	40	2856	679943
OB	1	41	3009	673606
OB	2	41	3016	682094
OB	1	42	3011	679475
OB	2	42	2786	678884
OB	1	43	3039	679058
OB	2	43	2915	681628
OB	1	44	2961	674355
OB	2	44	2852	680173
OB	1	45	2893	678759
OB	2	45	3003	678301
OB	1	46	3078	679889
OB	2	46	2925	680726
OB	1	47	2978	676098
OB	2	47	2974	680439
OB	1	48	3033	679230
OB	2	48	2890	676616
OB	1	49	2951	681605
OB	2	49	2910	678480
OB	1	50	3002	675908
OB	2	50	2957	677733
OB	1	51	2939	680465
OB	2	51	3018	678337
OB	1	52	2998	679695
OB	2	52	2929	677848
OB	1	53	2906	673518
OB	2	53	3026	678839
OB	1	54	2934	679002
OB	2	54	2980	677024
OB	1	55	2899	679351
OB	2	55	3088	680384
OB	1	56	2940	674538
OB	2	56	2999	677304
OB	1	57	2866	680481
OB	2	57	2968	677509
OB	1	58	3039	682408
OB	2	58	2953	676994
OB	1	59	2934	676520
OB	2	59	3004	675086
OB	1	60	2879	680893
OB	2	60	3004	673928
OB	1	61	2955	680592
OB	2	61	3084	675152
OB	1	62	2911	676653
OB	2	62	3120	674293
OB	1	63	2959	680188
OB	2	63	3037	673215
OB	1	64	2964	680062
OB	2	64	3086	676716
OB	1	65	2911	675224
OB	2	65	3060	675525
OB	1	66	2926	680780
OB	2	66	3108	675069
OB	1	67	2831	680356
OB	2	67	2963	675302
OB	1	68	2827	678212
OB	2	68	2978	675419
OB	1	69	2864	682593
OB	2	69	2996	671284
OB	1	70	2939	680722
OB	2	70	3132	674595
OB	1	71	2934	675721
OB	2	71	3107	670812
OB	1	72	2892	680832
OB	2	72	3155	671929
OB	1	73	2907	681247
OB	2	73	3247	673506
OB	1	74	2881	676353
OB	2	74	3235	672839
OB	1	75	2857	681468
OB	2	75	3031	671734
OB	1	76	2875	680432
OB	2	76	3179	674543
OB	1	77	2864	676133
OB	2	77	3108	672229
OB	1	78	2758	681624
OB	2	78	3050	671346
OB	1	79	2801	681577
OB	2	79	3090	673066
OB	1	80	2810	677493
OB	2	80	3084	671360
OB	1	81	2821	680780
OB	2	81	3129	669673
OB	1	82	2861	682209
OB	2	82	3239	671392
OB	1	83	2716	676506
OB	2	83	3109	671096
OB	1	84	2741	679659
OB	2	84	3218	669426
OB	1	85	2839	680217
OB	2	85	3115	670526
OB	1	86	2800	676644
OB	2	86	3202	668869
OB	1	87	2798	680593
OB	2	87	3253	668661
OB	1	88	2662	679541
OB	2	88	3228	669339
OB	1	89	2866	678318
OB	2	89	3316	668503
OB	1	90	2797	680797
OB	2	90	3319	668469
OB	1	91	2753	681154
OB	2	91	3386	667391
OB	1	92	2656	676025
OB	2	92	3352	668310
OB	1	93	2844	682285
OB	2	93	3251	666654
OB	1	94	2730	681234
OB	2	94	3366	667276
OB	1	95	2671	676485
OB	2	95	3445	667006
OB	1	96	2864	682623
OB	2	96	3427	666422
OB	1	97	2793	680521
OB	2	97	3364	667607
OB	1	98	2757	673263
OB	2	98	3405	667951
OB	1	99	2642	679947
OB	2	99	3476	666147
OB	1	100	2659	680244
OB	2	100	3379	667342
OB	1	101	2657	677179
OB	2	101	3368	665304
OB	1	102	2606	682636
OB	2	102	3492	664776
OB	1	103	2759	683510
OB	2	103	3468	667142
OB	1	104	2652	676754
OB	2	104	3424	666076
OB	1	105	2636	680760
OB	2	105	3370	663907
OB	1	106	2756	678529
OB	2	106	3521	666726
OB	1	107	2647	678425
OB	2	107	3444	666829
OB	1	108	2629	683685
OB	2	108	3543	663453
OB	1	109	2582	681985
OB	2	109	3583	664950
OB	1	110	2665	676839
OB	2	110	3541	664104
OB	1	111	2731	682533
OB	2	111	3646	662226
OB	1	112	2685	683585
OB	2	112	3625	664040
OB	1	113	2657	678628
OB	2	113	3551	661462
OB	1	114	2580	683182
OB	2	114	3716	658703
OB	1	115	2646	681502
OB	2	115	3615	662616
OB	1	116	2620	676986
OB	2	116	3685	662579
OB	1	117	2690	679989
OB	2	117	3739	660025
OB	1	118	2729	679560
OB	2	118	3782	661315
OB	1	119	2638	675055
OB	2	119	3688	661034
OB	1	120	2590	682420
OB	2	120	3756	658943
OB	1	121	2750	681134
OB	2	121	3694	659539
OB	1	122	2745	676578
OB	2	122	3820	659540
OB	1	123	2724	680903
OB	2	123	3833	656847
OB	1	124	2676	681520
OB	2	124	3728	661062
OB	1	125	2729	675849
OB	2	125	3822	659716
OB	1	126	2660	682752
OB	2	126	3881	656603
OB	1	127	2561	682172
OB	2	127	3863	659035
OB	1	128	2484	675069
OB	2	128	3909	657247
OB	1	129	2600	678530
OB	2	129	4001	655733
OB	1	130	2543	677956
OB	2	130	3964	656255
OB	1	131	2578	674434
OB	2	131	4167	655862
OB	1	132	2605	682171
OB	2	132	4007	652176
OB	1	133	2615	681862
OB	2	133	4049	656173
OB	1	134	2528	678508
OB	2	134	3987	653262
OB	1	135	2576	683896
OB	2	135	4113	650338
OB	1	136	3085	679296
OB	2	136	3991	653804
OB	1	137	3172	671950
OB	2	137	4194	648403
OB	1	138	3060	682052
OB	2	138	4238	649105
OB	1	139	3127	683734
OB	2	139	4161	650502
OB	1	140	2881	677484
OB	2	140	4096	649584
OB	1	141	3118	683731
OB	2	141	4115	647316
OB	1	142	3152	689039
OB	2	142	4009	649509
OB	1	143	3287	709156
OB	2	143	4074	645908
OB	1	144	3134	694486
OB	2	144	4147	645405
OB	1	145	3138	719159
OB	2	145	4241	645725
OB	1	146	3155	658543
OB	2	146	4499	644446
OB	1	147	3813	776915
OB	2	147	4546	644007
OB	1	148	4404	785155
OB	2	148	4685	644254
OB	1	149	3800	511617
OB	2	149	4634	639087
OB	1	150	9953	989139
OB	2	150	3487	608091
